rank,dish,category,veg,action,code,note,windows,top15_windows,qty,gross,share_pct,avg_price,gross_W1,gross_W2,gross_W3,gross_W4,w1_discount_pct
96,Mushroom & Caramelised Onion Sandwich,Healthy Sandwiches,veg,KEEP-C,C,"marginal - keep on probation, review next window",2,0,21,6101,0.19,291,0,0,3237,2864,
113,Egg Shakshuka,Healthy Breakfast (O),egg,KEEP-C,C,"marginal - keep on probation, review next window",2,0,17,3643,0.11,214,0,0,796,2847,
72,Alfredo Millets Pasta (Veg),Millets Pasta (O),veg,KEEP-C,C,"marginal - keep on probation, review next window",4,0,30,9538,0.29,318,4785,319,1595,2839,30.4
98,Diet Coke Can,Cold Drinks,veg,KEEP-C,AT,"43 units W4, top attach; brand-tension flagged as owner call D-2",4,0,94,5835,0.18,62,900,1680,460,2795,23.7
115,Veg Quesadilla,Cheesy Quesadillas,veg,KEEP-C,C,"marginal - keep on probation, review next window",2,0,11,3229,0.1,294,0,0,597,2632,
106,Watermelon Mint Cooler,Coolers [ON],veg,KEEP-C,AT,the only two coolers that sell; rest cut,4,0,28,4536,0.14,162,507,1352,507,2170,18.9
77,Antioxidant Detox,Smoothies,veg,KEEP-C,RN,"sells modestly; RENAME required - ""Detox"" is a banned claim word",4,0,48,8388,0.26,175,1490,2086,2682,2130,22.8
86,Power House Smoothie,Smoothies,veg,KEEP-C,C,"marginal - keep on probation, review next window",4,0,46,7314,0.23,159,1639,2384,1192,2099,29.5
125,Tuscan Chicken With Bread/rice,Non Veg Meals,non-veg,KEEP-C,C,"marginal - keep on probation, review next window",2,0,6,2344,0.07,391,0,0,269,2075,
92,Hydrating Watermelon Juice,Juices,veg,KEEP-C,AT,"light-sip attach, single digits but steady",4,0,29,6310,0.19,218,1908,1060,1696,1646,32.2
123,Aam Panna,Coolers [ON],veg,KEEP-C,AT,the only two coolers that sell; rest cut,3,0,13,2547,0.08,196,676,0,338,1533,32.3
100,Lemon Mint Ice Tea,Smoothies,veg,KEEP-C,AT,"light-sip attach, single digits but steady",4,0,37,5765,0.18,156,1341,1341,1788,1295,23.2
79,Crispy Peri Peri Chicken Burrito Wrap,Chicken Burrito Wraps,non-veg,KEEP-C,C,"marginal - keep on probation, review next window",4,0,24,8208,0.25,342,2094,1326,3579,1209,24.4
91,Veg Caesar Story Salad,Veg Salads,veg,KEEP-C,C,"marginal - keep on probation, review next window",4,0,22,6670,0.21,303,2135,2440,915,1180,29.2
119,Garlic Bread,Sides & Munchies,veg,KEEP-C,AT,zero-prep sides,2,0,23,2797,0.09,122,0,0,1881,916,
71,Peanut Butter Banana Smoothie,Smoothies,veg,KEEP-C,C,"marginal - keep on probation, review next window",4,0,61,9581,0.29,157,3278,3427,2086,790,25.8
87,Zero Calorie Mint Mojito,Juices,veg,KEEP-C,AT,"light-sip attach, single digits but steady",4,0,35,7291,0.22,208,1484,3816,1484,507,23.3
67,Manchow Soup (Veg),Soups (O),veg,KEEP-C,SE,"2 units in summer, 30 in Oct-Dec; winter rotation",4,0,53,10587,0.33,200,1194,2985,5970,438,26.8
127,Thums Up Can,Cold Drinks,veg,KEEP-C,AT,keep ONE regular cola (owner picks); the other goes,4,0,35,2130,0.07,61,720,540,480,390,30
146,Coke Can,Cold Drinks,veg,KEEP-C,AT,keep ONE regular cola (owner picks); the other goes,4,0,17,1045,0.03,61,360,240,120,325,33.3
154,Sirka Pyaaz,Sides & Munchies,veg,KEEP-C,AT,zero-prep sides,4,0,9,529,0.02,59,200,100,100,129,0
66,Avocado Toast With Poached Boiled Egg (2 Egg),Healthy Breakfast (O),egg,MERGE,V,"fold into an ""+egg"" add-on on Avocado Toast (hero); 2 SKUs -> 1 modifier",4,0,28,10652,0.33,380,3141,1745,3141,2625,28.6
75,Avocado Toast With Sunny Side Up (2 Egg),Desserts (O),egg,MERGE,V,"fold into an ""+egg"" add-on on Avocado Toast (hero); 2 SKUs -> 1 modifier",4,0,23,8555,0.26,372,2094,2792,2094,1575,29.4
89,Broccoli Almond Soup,Soups (O),veg,SEASONAL,SE,bring back Oct-Feb only; do not carry through summer,4,0,24,7014,0.22,292,885,1475,4425,229,30.2
88,Cream Of Chicken Soup,Soups (O),non-veg,SEASONAL,SE,bring back Oct-Feb only; do not carry through summer,3,0,29,7221,0.22,249,1494,1245,4482,0,30.6
99,Hot N Sour Soup (Veg),Soups (O),veg,SEASONAL,SE,bring back Oct-Feb only; do not carry through summer,3,0,29,5771,0.18,199,1194,1791,2786,0,18.9
112,Cream Of Broccoli Soup,Soups (O),veg,SEASONAL,SE,bring back Oct-Feb only; do not carry through summer,3,0,20,3900,0.12,195,2145,780,975,0,30.5
139,Pumpkin Soup,Soups (O),veg,WATCH-NEW,NW,"new launch, thin data - one more window before verdict",1,0,7,1505,0.05,215,0,0,0,1505,
145,Marry Me Mushroom With Bread / Rice,Veg Meals,veg,WATCH-NEW,NW,"new launch, thin data - one more window before verdict",1,0,3,1077,0.03,359,0,0,0,1077,
148,Oats Banana Pancakes 4pc,Healthy Breakfast (O),veg,WATCH-NEW,NW,"new launch, thin data - one more window before verdict",1,0,3,885,0.03,295,0,0,0,885,
